racecar,carrace,Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
software,hardwares,Not Anagrams
dog,god,Anagrams
planet,tenpla,Anagrams
triangle,integral,Anagrams
sup,hi,Not Anagrams
sup,his,Not Anagrams
silent,listen,Anagrams
debitcard,badcredit,Anagrams
schoolmaster,theclassroom,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
listen,silent,Anagrams
god,dog,Anagrams
cinema,iceman,Anagrams
hello,world,Not Anagrams
banana,orange,Not Anagrams
apple,apples,Not Anagrams
eleven,twelve,Not Anagrams
abacus,casuba,Anagrams
bookstore,storebook,Anagrams
earth,heart,Anagrams
bat,tab,Anagrams
silent,quiet,Not Anagrams
listen,whisper,Not Anagrams
palindrome,emordnilap,Anagrams
programming,gammingrop,Anagrams
software,hardware,Not Anagrams
race,pace,Not Anagrams
star,rats,Not Anagrams
tool,loot,Anagrams
plane,panel,Not Anagrams
cup,cup,Anagrams
yellow,olwel,yellaw,Not Anagrams
car,arc,Anagrams
cat,tac,Anagrams
envelope,velopeno,Anagrams
keyboard,wordkeab,Not Anagrams
dog,cat,Not Anagrams
mouse,house,Anagrams
listen,silent,Anagrams
cup,pucc,Not Anagrams
keyboard,boardkeay,Not Anagrams
dog,bird,Not Anagrams
software,faroswet,Not Anagrams
chicken,knecihc,Anagrams
moon,moons,Not Anagrams
desserts,stressed,Anagrams
python,nopyth,Not Anagrams
flower,flwoer,Not Anagrams
java,avaj,Anagrams
candle,eldnac,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
twelve,eleven,Not Anagrams
sup,ups,Not Anagrams
sup,pus,Not Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
sup,hi,Not Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
sup,hi,Not Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
sup,hi,Not Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
sup,hi,Not Anagrams
,,Anagrams
railsafety,fairytales,Anagrams
tea,eat,Anagrams
test!,test,Not Anagrams
hello!,world,Not Anagrams
railsafety,fairytales,Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
tea,eat,Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
,,Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
hello!,world,Not Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
test!,test,Not Anagrams
sup,hi,Not Anagrams
railsafety,fairytales,Anagrams
desserts,stressed,Anagrams
silent,listen,Anagrams
python,nopyth,Not Anagrams
sup,ups,Not Anagrams
dog,bird,Not Anagrams
java,avaj,Anagrams
car,arc,Anagrams
dog,god,Anagrams
cinema,iceman,Anagrams
abacus,casuba,Anagrams
openai,iaenpo,Anagrams
flower,lowerf,Anagrams
racecar,carrace,Anagrams
star,rats,Not Anagrams
software,faroswet,Not Anagrams
tea,eat,Anagrams
mouse,house,Anagrams
one,two,Not Anagrams
twelve,eleven,Not Anagrams
,,Anagrams
god,dog,Anagrams
spider,derisp,Anagrams
glacier,icergla,Anagrams
silent,quiet,Not Anagrams
software,hardwares,Not Anagrams
debitcard,badcredit,Anagrams
triangle,integral,Anagrams
cup,cup,Anagrams
flower,flwoer,Not Anagrams
apple,apples,Not Anagrams
race,pace,Not Anagrams
cat,tac,Anagrams
plane,panel,Not Anagrams
listen,whisper,Not Anagrams
hello,world,Not Anagrams
iceman,cinema,Anagrams
programming,gammingrop,Anagrams
hello!,world,Not Anagrams
eleven,twelve,Not Anagrams
palindrome,emordnilap,Anagrams
tool,loot,Anagrams
bat,tab,Anagrams
cup,pucc,Not Anagrams
candle,eldnac,Anagrams
sup,pus,Not Anagrams
keyboard,wordkeab,Not Anagrams
sup,his,Not Anagrams
listen,silent,Anagrams
envelope,velopeno,Anagrams
moon,moons,Not Anagrams
schoolmaster,theclassroom,Anagrams
banana,orange,Not Anagrams
keyboard,boardkeay,Not Anagrams
software,hardware,Not Anagrams
earth,heart,Anagrams
chicken,knecihc,Anagrams
planet,tenpla,Anagrams
bookstore,storebook,Anagrams
dog,cat,Not Anagrams
test!,test,Not Anagrams
sup,hi,Not Anagrams
